numtechnologie,codelangue,titre,definition,3,4,application,6,7,8,9,10,11,12,13,14,15,16,17,18
5,3,Building,A building is to isolate an area to create activity-specific conditions. It consists of an envelope and consumer equipment to ensure a conditioned atmosphere. The structure and layout of the building are related to its use.,"Building types are divided according to sectors. Besides the collective and individual housing, commercial buildings sector is divided into subsectors.",#15,Consumption by sector distribution in commercial buildings in 2009,,,"Depending on building age, the investment costs related to the renovation of the latter are variables:

from 0 to 300 € HT / sq.m. for a refresh (relamping, plumbing, layout ...)
300 to € 1,000 / HT / sq.m. for a major renovation (change of equipment for heating, ventilation and air conditioning, insulation of walls and roof ...)
more than € 1,000 / HT / sq.m. for a complete restructuring (facelift, changing joinery, replacement of heating and ventilation systems, insulation of the floor ...).",,,"An insulation audit periodically made ??by an external company reduces energy costs.Similarly, a well followed by isolation maintenance helps to preserve its properties. This can, for example, include the addition of a layer bodied if fouling of the walls is important.Replacement of equipment for heating, ventilation and air conditioning to switch on disruptive technologies generating significant energy savings. For example, geothermal heat pumps have high yields throughout the year and use four times less energy than electric heaters for the same amount of heat generated.",img/techno/bat/bat/bat_systeme_en.png,,Thermal bridges of a building,,,,
5,4,Edificación,Un edificio tiene por objeto aislar un espacio con el fin de crear las condiciones óptimas para realizar una actividad. Está constituido de una dotación y equipamientos consumidores que permiten asegurar una atmósfera en condiciones. La estructura y acondicionamiento del edificio están ligados a su uso.,"Los tipos de edificios están repartidos en función de los sectores de actividad. Además del sector de viviendas colectivas e individuales, el sector de edificios terciarios está dividido en varios subsectores.",#15,Repartición de consumos por sector en edificos terciarios en 2009,,,"Según la edad del edificio, los costes de inversión ligados a la renovación de este último son variables:

de 0 a 300  €/m2 (sin IVA) y siendo la superficie fuera de obra neta (SHON), para refrigeración (cambio de lámparas, fontanería, disposición...); 
de 300 a 1.000  €/m2 (sin IVA) SHON para una renovación más pesada (cambio de equipos para la calefacción, la ventilación y la climatización, aislamiento de muros y del techo...); 
más de 1.000 €/m2 (sin IVA) SHON para una restructuración completa (limpieza de fachada, cambio en la carpintería, reemplazo de redes de calefacción y ventilación, aislamiento del suelo...). ",,,"Un diagnóstico de aislamiento realizado de manera periódica por una empresa externa permite disminuir los costes energéticos de funcionamiento.
Así como, un mantenimiento bien controlado del aislamiento permite preservar sus propiedades.
El reemplazo de los equipos para la calefacción, ventilación y la climatización permite alternar tecnologías de ruptura que conllevan importantes ahorros de energía. Por ejemplo, las bombas de calor geotérmicas tienen rendimientos elevados todo el año y consumen 4 veces menos de electricidad que los convectores eléctricos para una misma cantidad de calor generado.",img/techno/bat/bat/bat_systeme_es.png,,Puentes térmicos de un edificio,,,,
6,2,Bureautique,"On entend par bureautique, l'usage des postes de travail, imprimantes et autres technologies dans les bureaux. Afin de réduire la consommation d'électricité de ce poste, il existe plusieurs leviers tels que : 

le maintien des salles informatiques comprenant les serveurs à la température recommandée par le constructeur : ventilation, refroidissement, couloirs chauds/couloirs froids ;
l'optimisation sur les postes individuels : extinction des équipements, contrôle de la mise en veille.","Les appareils de bureautique sont utilisés dans de nombreuses entreprises que ce soit dans le secteur tertiaire, industriel ou dans le commerce.",,,,,,,,L'optimisation de l'utilisation des appareils de bureautique améliore leur durée de vie et réduit les coûts de maintenance.,,"Le poste de travail est composé d'un ordinateur, d'un photocopieur partagé et d'autres périphériques.",,,,,
6,3,Office,"Office is meant by the use of workstations, printers and other technology in the office. To reduce the power consumption of this post, there are several levers such as: 


maintaining data centers at the temperature recommended by the manufacturer: ventilation, cooling, hot corridors / cold corridors. 

optimization on individual items: extinction equipment, control standby.","The office equipment is used in many businesses both in the industrial services sector, or in trade.",,,,,,,,Optimizing the use of office equipment improves their life and reduces maintenance costs.,,"The workstation is composed of a computer, photocopier and other shared devices.",,,,,
6,4,Oficinas,"Dentro del contexto de oficina se encuentran, el uso de puestos de trabajo, impresoras y otras tecnologías en las oficinas. Con el fin de reducir el consumo eléctrico en este contexto, existen varias maneras tales como: 

el mantenimiento de aulas informáticas incluidos los servidores de temperatura a la temperatura recomendad por el fabricante: ventilación, refrigeración, pasillos calientes /pasillos fríos; 
la optimización en los puestos individuales: extinción de equipos, control de espera. ","Los aparatos de oficina son utilizados en numerosas empresas ya sea en el sector terciario, industrial o en el comercio.",,,,,,,,La optimización de la utilización de los aparatos de oficina mejora su vida útil y reduce los costes de mantenimiento.,,"El puesto de trabajo está compuesto de un ordenador, una fotocopiadora compartida y otros dispositivos.",,,,,
7,2,CVC,"Le système CVC (Chauffage, Ventilation, Climatisation) permet de conditionner l'air entrant dans les locaux (température, humidité) et ainsi d'améliorer le confort thermique pour les occupants. Pour réduire la consommation énergétique de ce système, il existe plusieurs leviers tels que : 

l'optimisation de la production (radiants, pompes à chaleur, groupes frigorifiques performants, renouvellement d'air, déstratification, récupération de chaleur...) ;
l'optimisation de la régulation (gestion centralisée, régulation par sonde CO2, free cooling...).","Tous les bâtiments ont recours au système CVC, aussi bien les bâtiments industriels (atelier, stockage), les locaux tertiaires, que le résidentiel.",,,,,"60 % de l'énergie globale consommée par un système CVC servent au refroidissement et au chauffage. Les 40 % restant sont consommés par les systèmes périphériques comme les pompes, les ventilateurs, les unités de traitement d'air.",#2,Répartition de la consommation d'énergie d'un système CVC,"Pour les locaux de surface importante, il est possible de placer les systèmes CVC sous contrats de maintenance. Dans ces contrats, une clause de performance peut être négociée sur la partie chauffage et climatisation. Cette clause se base sur une consommation de référence en kWh/DJU (Degré Jour Unifié).",img/techno/bat/cvc/cvc_systeme_fr.png,"Le système CVC est constitué d'une source de production de chaud, d'une source de production de froid et d'un système de ventilation. Des équipements auxiliaires, pompes, ventilateurs et sytèmes de contrôles sont présents pour assurer le bon transfert des fluides. Il existe des systèmes réversibles capables de produire du froid ou du chaud selon la période.",Le système CVC,,,,
7,3,HVAC,"The HVAC (Heating, Ventilation, Air Conditioning) can condition the air entering the premises (temperature, humidity) and thus improve the thermal comfort for occupants. To reduce the energy consumption of the system, there are several levers such as:


optimization of production (radiant, heat pumps, efficient cooling units, air renewal, destratification, heat recovery ...) ;

optimization of the control unit (centralized management control sensor by CO2, free cooling ...).","All buildings use HVAC, industrial buildings (workshop, storage), tertiary and residential premises.",,,,,"60% of the total energy consumed by an HVAC system used for cooling and heating. The remaining 40% is consumed by peripheral systems such as pumps, fans, air handling units.",#2,Répartition de la consommation d'énergie d'un système CVC,"For local large surface, it is possible to place the HVAC systems under maintenance contracts. In these contracts, a performance clause can be negotiated on the heating and air conditioning part. This clause is based on a reference consumption in kWh / degree day.",img/techno/bat/cvc/cvc_systeme_en.png,"HVAC system comprises a source of heat production, a source of cold production and ventilation system. Auxiliary equipment, pumps, fans and systems controls are present to ensure good transfer of fluids. There are reversible systems able to produce cold or hot depending on the time.",HVAC system,,,,
7,4,"Calefacción, ventilación y clim.","El sistema CVC (Calefacción, Ventilación, Climatización) permite condicionar el aire de entrada en los locales (temperatura, humedad) y también mejorar el confort térmico para los ocupantes. 
Para reducir el consumo energético de este sistema, existen varios niveles tales como:

Optimización de la producción (radiantes, bombas de calor, grupos frigoríficos eficientes, renovación de aire, ventilación de aire, recuperación de calor...); 
la optimización de la regulación (gestión centralizada, regulación por sonda CO2, free cooling...). ","Todos los edificios han recurrido al sistema CVC, también los edificios industriales (taller, almacenamiento), los locales terciarios, así como el residencial.",,,,,"60% de la energía global consumida por un sistema CVC se debe al enfriamiento y calefacción. El otro 40% restante es consumido por los sistemas periféricos como bombas, ventiladores, unidades de tratamiento de aire.",#2,Repartición del consumo de energía de un sistema CVC,"Para los locales de superficie importante, es posible colocar los sistemas de CVC en virtud de contratos de mantenimiento. En estos contratos, una cláusula de rendimiento puede ser negociada sobre la parte calefacción y climatización. Esta cláusula se basa sobre un consumo de referencia en KWh/GDU (Grados Día Unificado).",img/techno/bat/cvc/cvc_systeme_es.png,"El sistema CVC está constituido de una fuente de producción de calor, de una fuente de producción de frío y de un sistema de ventilación. Los equipos auxiliares, bombas, ventiladores y sistemas de controles son presentes para asegurar la buena transferencia de los fluidos. Existen sistemas reversibles capaces de producir frío o calor según el período.",El sistema CVC,,,,
8,2,Eclairage,"Afin de réduire les consommations d'électricité du poste éclairage, il existe plusieurs leviers tels que : 

l'optimisation des équipements consommateurs en installant des lampes et des ballasts performants ;
l'optimisation de la régulation en utilisant une gestion centralisée, en ajustant l'éclairage en fonction de l'occupation et de la luminosité naturelle.","Il existe 2 catégories d'éclairage : 

l'éclairage intérieur qui s'utilise dans les bâtiments tertiaires, residentiels et industriels ;
l'éclairage extérieur qui s'utilise en général dans les lieux publics et pour les bâtiments industriels (façade, parking...).",,,,,"Après l'optimisation des systèmes d'éclairage et la réduction de la consommation énergétique, l'investissement représente la majeure partie du coût global, alors que les coûts énergétiques et de maintenance diminuent.",#3,Répartition de la consommation (sur 15 ans) d'un système de tubes T5 avec capteurs de présence et de luminosité,"Les nouveaux équipements ont des durées de vie plus importantes, réduisant les coûts de remplacement. Par exemple, les tubes T5 ont une durée de vie supérieure de 5 000 à 10 000 heures à celle des tubes T8.",img/techno/bat/ecl/ecl_systeme_fr.png,"Le système d'éclairage est composé des luminaires avec des lampes, des ballasts, les systèmes de régulation associés et des réflecteurs.",Le système d'éclairage,,,,
8,3,Lighting,"To reduce electricity consumption of lighting position, there are several levers such as:


optimizing consumer equipment by installing efficient ballasts and lamps;

optimizing control using a centralized management, adjusting the lighting based on occupancy and natural light.","There are two types of lighting:


interior lighting that is used in tertiary, residential and industrial buildings;

outdoor lighting that is normally used in public places and industrial buildings (front, parking ...).",,,,,"After optimization of lighting systems and reducing energy consumption, investment accounts for the majority of overall costs, while energy and maintenance costs decrease.",#3,Répartition de la consommation (sur 15 ans) d'un système de tubes T5 avec capteurs de présence et de luminosité,"The new facilities have greater lifetimes, reducing replacement costs. For example, T5 tubes have a lifetime of more than 5 000 to 10 000 hours at the T8 tubes.",img/techno/bat/ecl/ecl_systeme_en.png,"The lighting system consists of lighting with lamps, ballasts, associated control systems and reflectors.",Lighting system,,,,
8,4,Iluminación,"Con el fin de reducir el consumo de electricidad de la iluminación. Existen varias maneras tales como:

optimización de los equipos consumidores instalando lámparas y balastros eficientes;
optimización de la regulación utilizando una gestión centralizada, ajustando la iluminación en función de la ocupación y la luminosidad natural. ","Existen 2 categorías de iluminación:

iluminación interior que se utiliza en los edificios terciarios, residenciales e industriales:
iluminación exterior que se utiliza en general en lugares públicos y para edificios industriales (fachadas, parking...).",,,,,"Después de la optimización de los sistemas de iluminación y la reducción del consumo energético, la inversión representa la mayor parte del coste global, cuando los costes energéticos y de mantenimiento disminuyen.",#3,Répartition de la consommation (sur 15 ans) d'un système de tubes T5 avec capteurs de présence et de luminosité,"Los nuevos equipos tienen una vida útil más importante, se reducen los costes de mantenimiento. Por ejemplo, los tubos T5, tiene una vida útil superior de 5.000 a 10.000 horas que los tubos T8.",img/techno/bat/ecl/ecl_systeme_es.png,"El sistema de iluminación está compuesto de alumbrados con lámparas, balastros, sistemas de regulación asociados y reflectores.",Sistema de iluminación,,,,
9,2,Enveloppe,"L'enveloppe sépare l'espace habitable chauffé de l'environnement extérieur. Son but est de limiter au maximum les transferts de chaleur d'un milieu à un autre.
Afin de réduire la consommation de chauffage d'un local, il est recommandé d'optimiser l'enveloppe en améliorant l'isolation des murs, toitures et vitrages.","Les actions sur l'enveloppe d'un bâtiment peuvent s'appliquer aussi bien aux locaux des secteurs tertiaires, résidentiels, qu'industriels.",,,,,"L'utilisation du bâtiment représente 75 % de son coût global et comprend la consommation énergétique, la maintenance et les rénovations.",#4,Répartition moyenne des types de coût sur le cycle de vie d'un bâtiment tertiaire (hors foncier et frais financiers),La réalisation d'un diagnostic isolation par une entreprise extérieure permet de diminuer les coûts de maintenance et de rénovation.,img/techno/bat/env/env_systeme_fr.png,Les déperditions thermiques d'un bâtiment mal ou non isolé se répartissent comme sur le schéma ci-dessous. Les actions sur l'enveloppe auront un impact sur la consommation des utilités produisant l'énergie.,Déperditions thermiques d'un bâtiment,,,,
9,3,Envelope,"The envelope separates the liveable space heated from the outside environment. Its purpose is to minimize the transfer of heat from one place to another.
To reduce consumption of heating a room, it is recommended to optimize the envelope by improving the insulation of walls, roofs and windows.
","Actions on the building envelope can be applied to local of tertiary, residential and industrial sectors",,,,,"The use of the building is 75% of the overall cost and includes the energy consumption, maintenance and renovations.",#4,Répartition moyenne des types de coût sur le cycle de vie d'un bâtiment tertiaire (hors foncier et frais financiers),The realization of a diagnostic insulation by an external company helps reduce maintenance costs and renovation.,img/techno/bat/env/env_systeme_en.png,The heat loss of a poorly or non-insulated building is divided as Fig below. Actions on the envelope will have an impact on the consumption of energy producing utilities.,Heat loss of a building,,,,
9,4,Cubiertas,"La cubierta separa el espacio habitable calentado de ambiente exterior. Su objetivo es limitar al máximo las transferencias de calor de un medio al otro.
Con el fin de reducir el consumo de calefacción de un local, es recomendable optimizar la cubierta mejorando el aislamiento de los muros, techos y vitrinas","Las acciones sobre las cubiertas de un edificio se pueden aplicar tanto a los locales de sectores terciarios, residenciales como a los industriales.",,,,,"La utilización de edificios representa un 75% sobre el coste global y comprende el consumo energético, mantenimiento y renovaciones.",#4,Reparto medio de los tipos de coste sobre el ciclo de vida de un edificio terciario (excepto  territorio y gastos financieros),"La realización de un diagnóstico de aislamiento para una empresa exterior, permite disminuir los costes de mantenimiento y renovación.
 ",img/techno/bat/env/env_systeme_es.png,Las pérdidas térmicas de un edificio mal o no aislado se reparten como el siguiente esquema de abajo. Las acciones sobre la cubierta tendrán un impacto en el consumo de las utilidades de producción de energía.,Pérdidas térmicas de un edificio.,,,,
10,2,Utilités,"Les utilités sont définies comme étant des systèmes servant en parallèle à plusieurs unités de production. L'air comprimé, la production de froid, la distribution électrique, les systèmes motorisés, la ventilation industrielle, les stations de pompage, la production de vapeur, d'eau chaude et les réseaux associés font partie des utilités.","Les utilités sont principalement utilisées dans l'industrie, où tous les secteurs industriels sont concernés.",,,#14,Gisement d'économie d'énergie dans l'industrie française en 2010,L'achat d'équipements performants pour les utilités est souvent une solution pertinente car les surcoûts de l'investissement sont faibles en comparaison des économies réalisables sur l'ensemble de la durée de vie de l'équipement.,,,"De nombreuses solutions comportementales ou d'exploitation permettent de diminuer la consommation énergétique des utilités, pour des coûts limités d'investissement. Ces solutions ont des temps de retour sur investissement (TRI) rapides.",,,,,,,
10,3,Utilities,"Utilities are defined as systems used in parallel with several production units. The compressed air, cold production, power distribution, motor systems, industrial ventilation, pumping stations, production of steam, hot water and associated networks are part of the utilities.","Utilities are mostly used in industry, where all industries are concerned.",,,#14,Energy saving deposit in the French industry in 2010,The purchase of efficient equipment for utilities is often a relevant solution because the additional investment is low compared to potential savings over the entire life of the equipment.,,,Many behavioral or operational solutions help to reduce the energy consumption of utilities for limited investment costs. These solutions have fast payback.,,,,,,,
10,4,Utilidades,"Las utilidades de definen como sistemas que utilizan en paralelo varias unidades de producción. El aire comprimido, la producción de frío, la distribución eléctrica, los sistemas motorizados, la ventilación industrial, las estaciones de bombeo, la producción de vapor, el agua caliente y las redes asociadas forman parte de las utilidades.","Las utilidades son principalmente utilizadas en la industria, donde todos los sectores industriales se engloban.",,,#14,Gisement d'économie d'énergie dans l'industrie française en 2010,La compra de equipos eficientes para las utilidades es a menudo una solución pertinente ya que los sobrecostes de la inversión son bajos en comparación con los ahorros realizables sobre el conjunto de la vida útil del equipo.,,,"Numerosas soluciones de conducta o explotación permiten disminuir el consumo energético de las utilidades, para costes limitados de inversión. Estas soluciones tienen tiempos de retorno de la inversión (TRI) rápidos.",,,,,,,
11,2,Air comprimé,"L'air est comprimé par un compresseur et est maintenu à une pression supérieure à celle de l'atmosphère, aux alentours de 7 bar (parfois jusqu'à 300 bar). Afin de réduire la consommation d'air comprimé, il existe plusieurs leviers tels que : 

l'optimisation de la centrale de production (compresseurs et sécheurs à haute efficacité énergétique, variation de vitesse, stockage...)
l'optimisation du réseau (réduction de la pression, contrôles des fuites et des débits, équipements correctement dimensionnés...)","L'air comprimé est couramment utilisé dans l'industrie :

en tant que partie intégrante des procédés industriels : salle blanche, alimentation de servomoteurs, protection contre les contaminants, pistolets à peinture, production de bulles (industrie alimentaire), soufflage des fibres de verre, moulages des plastiques, tri pneumatique ;
en tant que fluide énergétique : entraînement d'outils pneumatiques (vérins et distributeurs).",,,,,75 % du coût global d'un système air comprimé est représenté par la consommation énergétique. Celle-ci est notamment importante car le compresseur fonctionne à une pression plus élevée pour couvrir les pertes de charge du réseau. Ces pertes de charge impliquent donc un surcoût.,#5,Coût global de l'air comprimé,"L'optimisation du système air comprimé permet de réduire les coûts de maintenance.La gestion de l'air comprimé est souvent confiée à une entreprise extérieure, avec un contrat de fourniture d'air comprimé à une pression et à des caractéristiques (humidité, polluants) données. Il est possible de mettre en place des contrats de performance indexés sur un objectif de réduction de la consommation (en Wh/m3). 
Une centrale performante à 7 bar consomme environ 110 Wh/m3. Une fourchette de consommation peut être prise en compte en premier lieu : entre 85 et 130 Wh/m3 à 7 bar. ",img/techno/uti/air/air_systeme_fr.png,Le système air comprimé est composé d'une centrale de production avec les compresseurs et le traitement de l'air et d'un réseau sur lequel sont positionnés les différents équipements consommateurs et réservoirs tampon.,Le système air comprimé,,,,
11,3,Compressed air,"Air is compressed by a compressor and is kept at a pressure above that of the atmosphere, at about 7 bar (sometimes up to 300 bar). To reduce compressed air consumption, there are several levers such as:

optimizing the production plant (compressors and dryers high efficiency, variable speed, storage ...)
network optimization (reduction of pressure control and leak rates, properly sized equipment ...)","Compressed air is commonly used in industry:

as an integral part of industrial processes cleanroom supply actuators, protection against contaminants, spray guns, bubble production (food industry), blown glass fibers, plastic molds, pneumatic sorting;
as working fluid: training of pneumatic tools (cylinders and valves).",,,,,75% of the overall cost of a compressed air system is shown by the energy consumption. This is particularly important because the compressor operates at a higher pressure to cover losses in the network. These losses therefore involve an additional cost.,#5,Overall cost of compressed air,"Optimization of compressed air system reduces maintenance costs.Management of compressed air is often entrusted to an outside company, with a contract of supply of air compressed to a pressure and characteristics (humidity, pollutants) data. It is possible to implement performance contracts indexed to a goal of reducing the consumption (in Wh/m3). A powerful 7 bar plant uses about 110 Wh/m3.",img/techno/uti/air/air_systeme_en.png,"Compressed air system consists of a central system with the compressors and the air treatment, and a network in which different consumers are positioned such as buffer tanks and equipment.",Compressed air system,,,,
11,4,Aire comprimido,"El aire es comprimido por un compresor y se mantiene a una presión superior  a la de la atmósfera, alrededor de unos 7 bares (a veces hasta 300 bares). Con el fin de reducir el consumo de aire comprimido, existen varias opciones:

optimización de la central de producción (compresores y secaderos de alta eficacia energética, variación de velocidad, almacenamiento...) 
optimización de la red (reducción de la presión, controles de fugas y caudales, equipos correctamente dimensionados...) ","El aire comprimido es conmúnmente utilizado en la industria:

como una parte integral de los procesos industriales: salas blancas, alimentación de servomotores, protección contra los contaminantes, pistolas de pintura, producción de burbujas (industria alimentaria), soplado de fibra de vidrio, moldeo de plásticos, clasificación neumática...). 
o también como fluído energético, herramientas neumáticas de accionamiento (gatos y distribuidores).",,,,,75% del coste global de un sistema de aire comprimido está representado por el consumo energético. Esto es notablemente importante cuando el compresor funciona a una presión más elevada para cubrir las pérdidas de carga de la red. Estas pérdidas de carga suponen por lo tanto un coste adicional.,#5,Coste global del aire comprimido,"La optimización de un sistema de aire comprimido permite reducir los costes de mantenimiento. La gestión de aire comprimido suele ser confiada a una empresa externa, con un contrato de suministro de aire comprimido a una presión y con unas características (humedad, contaminantes) dados. Existe la posibilidad de llevar a cabo contratos de rendimiento ajustados a un objetivo de reducción del consumo (Wh/m3). 
Una central eficiente a 7 bares consume aproximadamente 110 Wh/m3.",img/techno/uti/air/air_systeme_es.png,El sistema de aire comprimido está compuesto de una central de producción con compresores y el tratamiento del aire y de una red sobre el cual son posicionados los diferentes equipos consumidores y depósitos tampón.,Sistema de aire comprimido,,,,
