numsolution,numrex,mini_cout,maxi_cout,reel_cout,code_monnaie_cout,code_unite_cout,difficulte,gain,code_monnaie_gain,code_periode_gain,energie_gain,code_unite_energie,code_periode_energie,ges_gain,mini_gain,maxi_gain,moyen_gain,reel_gain,tri_reel,tri_min,tri_max
43,1801,,,,0,0,,14000.0,2,3,,1,1,,,,,,,,
43,1884,,,,0,0,,,1,1,,1,1,,,,,,,,
43,2070,,,,0,0,,,1,1,,1,1,,,,,,,,
45,118,,,,0,0,,,1,1,,1,1,,,,,,,3.0,8.0
46,43,,,,0,0,,,1,1,,1,1,,,0.3,,,,,
46,118,,,,0,0,,,1,1,,1,1,,,,,,,,
46,183,,,,0,0,,,1,1,,1,1,,,,,,,,
46,185,,,,0,0,,,1,1,,1,1,,,,,,,,
46,341,0.0,0.0,70000.0,2,1,8.0,30000.0,2,1,,6,1,,,,,1.5,,,
46,341,0.0,0.0,70000.0,2,1,8.0,33000.0,2,1,,6,1,,,,,0.67,,,
46,424,,,,0,0,,36985.0,2,2,21756000.0,6,2,,,,,,1.0,,
46,424,,,,0,0,,,1,1,1500.0,12,3,,,,,,1.0,,
46,424,,,,0,0,,,1,1,500.0,12,3,,,,,,3.5,,
46,443,0.0,0.0,25000.0,9,1,,9150.0,9,3,14634.0,5,1,,,,,,2.7,,
46,486,,,,0,0,,,1,1,,1,1,,,,,,,,
46,500,0.0,0.0,60000.0,2,1,,,1,1,,1,1,,,,,0.8,2.0,,
46,563,,,,0,0,,,1,1,,1,1,,,,,,,,
46,631,,,,0,0,,,1,1,,1,1,,,,,,,,
46,652,,,,0,0,,,1,1,,1,1,,,,,,,,
46,1275,,,,0,0,,,1,1,,1,1,,,,,,,,
46,1448,,,,0,0,,,1,1,,1,1,,,,,,,,
46,1612,0.0,0.0,851927.0,5,1,,,1,1,,1,1,891.0,,,,,,,
46,1709,,,,0,0,,,1,1,,1,1,267.0,,,,,,,
46,1710,,,,0,0,,,1,1,,1,1,190.0,,,,,,,
46,1711,,,,0,0,,,1,1,,1,1,1078.0,,,,,,,
46,1712,,,,0,0,,,1,1,,1,1,839.0,,,,,,,
46,1713,,,,0,0,,,1,1,,1,1,930.0,,,,,,,
46,1714,,,,0,0,,,1,1,,1,1,920.0,,,,,,,
46,1715,,,,0,0,,,1,1,,1,1,557.0,,,,,,,
46,1716,,,,0,0,,,1,1,,1,1,353.0,,,,,,,
46,1717,,,,0,0,,,1,1,,1,1,292.0,,,,,,,
46,1718,,,,0,0,,,1,1,,1,1,157.0,,,,,,,
46,1719,,,,0,0,,,1,1,,1,1,1002.0,,,,,,,
46,1720,,,,0,0,,,1,1,,1,1,688.0,,,,,,,
46,1721,,,,0,0,,,1,1,,1,1,1198.0,,,,,,,
46,1722,,,,0,0,,,1,1,,1,1,136.0,,,,,,,
46,1723,,,,0,0,,,1,1,,1,1,1086.0,,,,,,,
46,1724,,,,0,0,,,1,1,,1,1,659.0,,,,,,,
46,1725,,,,0,0,,,1,1,,1,1,203.0,,,,,,,
46,1726,,,,0,0,,,1,1,,1,1,130.0,,,,,,,
46,1727,,,,0,0,,,1,1,,1,1,,,,,,,,
46,1728,,,,0,0,,,1,1,,1,1,,,,,,,,
46,2055,,,,0,0,,6000.0,2,3,,1,1,,,,,,,,
48,85,,,,0,0,,1200000.0,3,3,170000.0,11,3,,,,,,,,
48,109,,,,0,0,,,1,1,,1,1,,,,,,,,
48,342,0.0,0.0,672000.0,2,1,,,1,1,205.0,12,3,,,,,,,,
48,342,0.0,0.0,672000.0,2,1,,,1,1,330.0,12,3,,,,,,,,
48,815,,,,0,0,,,1,1,,1,1,,,,,,,,
50,132,0.0,0.0,2391.0,3,1,,2354.0,3,3,27280.0,5,1,24.0,,,,,,,1.0
50,132,0.0,0.0,2391.0,3,1,,9167.0,3,3,115321.0,5,1,103.0,,,,,,,
50,843,,,,0,0,,12470.0,1,3,283.0,11,1,,,,,,2.4,,
50,854,0.0,0.0,14500.0,3,1,,35840.0,3,3,896000.0,5,3,,,,,,0.4,,
50,1576,0.0,0.0,13000.0,3,1,,3000.0,3,3,100000.0,5,1,93.0,,,,,3.7,,
51,1884,,,,0,0,,,1,1,,1,1,,,,,,,,
54,14,0.0,0.0,12000.0,2,1,3.0,6635.0,2,3,144.0,12,3,3.4,,,,,2.0,,
54,134,,,,0,0,,,1,1,,1,1,,,,,,,,
54,170,,,,0,0,,,1,1,,1,1,,,,,,,,
54,370,0.0,0.0,80000.0,2,1,,,1,1,,1,1,,,,,0.03,,,
54,645,,,,0,0,,,1,1,,1,1,,,,,,,,
54,659,0.0,0.0,400000.0,7,1,,,1,1,,1,1,,0.02,0.04,,,4.0,,
54,1223,,,,0,0,,,1,1,,1,1,,,,,,,,
54,1251,,,,0,0,,,1,1,,1,1,,,,,,,,
54,1275,,,,0,0,,,1,1,,1,1,,,,,,,,
54,1573,0.0,0.0,1500000.0,3,1,,664000.0,3,3,5.8,3,1,,,,,,2.26,,
54,1619,,,,0,0,,,1,1,,1,1,,,,,,,,
54,1764,,,,0,0,,,1,1,,1,1,,,,,,,,
54,1819,,,,0,0,,,1,1,,1,1,,,,,,,,
54,1823,0.0,0.0,123500.0,3,1,,85000.0,3,3,2540.0,12,1,,,,,,1.4,,
54,1884,,,,0,0,,,1,1,,1,1,,,,,,,,
54,2050,,,,0,0,,,1,1,,1,1,,,,,,,,
55,381,0.0,0.0,113500.0,2,1,,29690.0,2,3,1988.0,12,3,,,,,0.19,3.8,,
55,574,,,,0,0,,,1,1,,1,1,,,,,,,,
55,674,,,,0,0,,,1,1,,1,1,,,,,,,,
58,89,0.0,0.0,9278.0,3,1,8.0,110.0,3,3,2970.0,5,3,,,,,0.03,0.0,,
58,89,0.0,0.0,9278.0,3,1,8.0,179.0,3,3,483.0,5,3,,,,,0.046,,,
58,133,0.0,0.0,500.0,3,1,,,1,3,-302.0,12,1,,,,,,,,
58,690,,,,0,0,,,1,1,,1,1,,,,,,,,
59,1879,0.0,0.0,1200000.0,3,1,,3500000.0,3,3,4478000.0,5,1,,,,,,,,
60,839,0.0,0.0,52428.0,3,1,,106225.0,3,3,2724000.0,5,1,,,,,,0.5,,
60,1885,,,,0,0,,,1,1,,1,1,,,,,,,,
61,89,0.0,0.0,10275.0,3,1,,,0,0,,0,0,,,,,,,,
62,49,,,,0,0,,,1,1,,1,1,,,,,,,,
62,1885,,,,0,0,,,1,1,,1,1,,,,,,,,
63,40,,,,0,0,,,1,1,,1,1,,,,,,,,
63,49,0.0,0.0,25000.0,3,1,,16800.0,3,3,,1,1,,,,,,1.5,,
63,1301,0.0,0.0,22000.0,3,1,,67000.0,3,3,,1,1,,,,,,0.3,,
64,40,,,,0,0,,,1,1,,1,1,,,,,,,,
64,526,,,,0,0,,,1,1,,1,1,,,,,,,,
64,545,,,,0,0,,2100000.0,7,3,,1,1,,,,,,,,
64,1487,,,,0,0,,,1,1,,1,1,,,,,,,,
65,1761,,,,0,0,,,1,1,,1,1,,,,,,,,
65,1826,,,,0,0,,,1,1,,1,1,,,,,,,,
66,1226,,,,0,0,,,1,1,,1,1,,,,,,,,
67,526,,,,0,0,,,1,1,,1,1,,,,,,,,
67,538,0.0,0.0,50000.0,7,1,,1800000.0,7,3,360000.0,5,1,,,,,,0.0,,
67,542,,,,0,0,,,1,1,,1,1,,,,,,,,
67,575,,,,0,0,,700000.0,7,2,235000.0,5,1,,,,,,0.24,,
67,577,,,,0,0,,2590000.0,7,3,479000.0,5,1,,,,,,0.0,,
67,690,,,,0,0,,,1,1,,1,1,,,,,,,,
67,735,,,,0,0,,150000.0,6,3,,15,1,,,,,,,,0.08
67,752,0.0,0.0,10000.0,7,1,,770000.0,7,3,241920.0,5,1,,,,,,,,0.08
67,763,,,,0,0,,,1,1,,1,1,,,,,,,,
67,1895,0.0,0.0,1100000.0,3,1,,1200000.0,3,3,220000.0,11,1,,,,,,0.91,,
68,1761,,,,0,0,,,1,1,,1,1,,,,,,,,
69,1270,,,,0,0,,,1,1,,1,1,,,,,,,,
70,52,0.0,0.0,0.5,14,1,,6.0,14,3,24.0,5,1,,,,,0.96,0.1,,
70,111,,,,0,0,,,1,1,1400.0,5,3,,,,,,0.5,,
70,129,,,,0,0,,187701.0,3,3,4380.0,12,3,3898.0,,,,,,,
70,551,,,,0,0,,,1,1,,1,1,,,,,,,,
70,617,0.0,0.0,23000.0,3,1,,19000.0,3,3,460000.0,5,1,,,,,,1.0,,
70,1761,,,,0,0,,,1,1,,1,1,,,,,,,,
70,1823,0.0,0.0,12000.0,1,1,,69550.0,3,3,2080.0,12,1,,,,,,0.16,,
70,1881,0.0,0.0,110000.0,3,1,,339000.0,3,3,4520000.0,5,3,,,,,,0.1,,
70,1881,0.0,0.0,110000.0,3,1,,240000.0,3,3,3206000.0,5,3,,,,,,0.3,,
70,2020,0.0,0.0,5338750.0,15,1,,,1,1,457.0,12,1,,,,,,,,
73,1885,,,,0,0,,,1,1,,1,1,,,,,,,,
75,1761,,,,0,0,,,1,1,,1,1,,,,,,,,
75,1884,,,,0,0,,,1,1,,1,1,,,,,,,,
75,1988,,,,0,0,,,1,1,,1,1,,,,,,,,
76,523,0.0,0.0,15000.0,7,1,,43000.0,7,3,8952.0,5,1,,,,,,0.35,,
76,533,0.0,0.0,20000.0,7,1,,280000.0,7,3,60200.0,5,1,,,,,,0.08,,
78,13,,,,0,0,,,1,1,,1,1,,,,,,,,
78,176,,,,0,0,,,1,1,,1,1,,,,,,,,
78,492,,,,0,0,,,1,1,,1,1,,,,,,,,
78,812,0.0,0.0,24838.0,1,1,,,0,0,,0,0,,,,,,,,
78,1354,,,,0,0,,,1,1,,1,1,,,,,,,,
78,1355,,,,0,0,,,1,1,,1,1,,,,,,,,
78,1357,,,,0,0,,,1,1,37500.0,12,3,,,,,,,,
78,1361,0.0,0.0,700000.0,2,1,,,1,1,,1,1,6500.0,,,,,,,
78,1365,,,,0,0,,,1,1,,1,1,,,,,,,,
78,1366,,,,0,0,,,1,1,,1,1,,,,,,,,
78,1629,0.0,0.0,7209604.0,1,1,,,1,3,119598.0,2,1,73079.0,,,,,,,
78,1681,,,,0,0,,,1,1,,1,1,,,,,,,,
79,30,0.0,0.0,10000.0,2,1,5.0,,0,0,,0,0,,,,,,,,
79,37,0.0,0.0,20000.0,3,1,8.0,7611.0,3,3,124200.0,5,3,84.0,,,,0.08,2.7,,
79,133,0.0,0.0,42350.0,3,1,,45000.0,3,3,,1,1,7966.0,,,,,0.7,,
79,138,0.0,0.0,136000.0,3,1,,320000.0,3,3,5530.0,5,1,4004.0,,,,,0.42,,
79,139,0.0,0.0,25000.0,3,1,,22500.0,3,3,380342.0,5,1,235.0,,,,,1.17,,
79,149,0.0,0.0,3400.0,3,1,,7508.0,3,3,14400.0,5,1,88.0,,,,,0.5,,
79,533,0.0,0.0,600000.0,7,1,,2418000.0,7,3,525600.0,5,1,,,,,,0.25,,
79,576,0.0,0.0,230000.0,7,1,,2608320.0,7,3,1372800.0,5,1,,,,,,0.17,,
79,617,,,,0,0,,,1,3,190000.0,5,1,,,,,,,,
79,619,,,,0,0,,,1,1,,1,1,,,,,,,,
79,732,0.0,0.0,1700000.0,1,1,,1300000.0,7,3,,1,1,,,,,,1.3,,
79,745,0.0,0.0,900000.0,7,1,,1080000.0,7,3,,1,1,,,,,,0.8,,
79,746,0.0,0.0,360000.0,7,1,,710000.0,7,3,600000.0,5,1,,,,,,0.5,,
79,758,,,,0,0,,,1,1,,1,1,,,,,,,,
79,839,0.0,0.0,609000.0,3,1,,246800.0,3,3,9404000.0,5,1,,,,,,2.5,,
79,1223,,,,0,0,,,1,1,,1,1,,,,,,,,
79,1227,,,,0,0,,,1,1,,1,1,,,,,,,,
79,1233,,,,0,0,,,1,1,,1,1,,,,,,,,
79,1247,,,,0,0,,653.0,3,3,,1,1,,,,,,,,
79,1273,,,,0,0,,,1,1,,1,1,,,,,,,,
79,1353,,,,0,0,,,1,1,,1,1,,,,,,,,
79,1546,,,,0,0,,,1,1,,1,1,,,,,,,,
79,1548,0.0,0.0,2340.0,3,1,,16225.0,3,1,243.0,12,1,,,,,0.36,0.14,,
79,1576,0.0,0.0,21000.0,3,1,,20000.0,3,3,700000.0,5,1,721.0,,,,,1.0,,
79,1744,,,,0,0,,,1,1,,1,1,,,,,,,,
79,1806,0.0,0.0,198000.0,3,1,,136000.0,3,3,819000.0,5,3,,,,,,1.5,,
79,1819,,,,0,0,,,1,1,,1,1,,,,,,,,
79,1846,170.0,210.0,0.0,2,5,,,0,0,,0,0,,,,,,,,
79,1884,,,,0,0,,,1,1,,1,1,,,,,,,,
79,1979,,,,0,0,,,1,1,,1,1,,,,,,,,
79,1990,,,,0,0,,,1,1,,1,1,,,,,,,,
80,132,0.0,0.0,1622.0,3,1,,1605.0,3,3,18600.0,5,1,17.0,,,,,1.08,,
80,132,0.0,0.0,1622.0,3,1,,2761.0,3,3,32000.0,5,1,29.0,,,,,,,
80,134,,,,0,0,,,1,1,,1,1,,,,,,,,
80,751,,,,0,0,,9200000.0,7,3,3400000.0,5,1,,,,,,,,
80,768,0.0,0.0,550000.0,5,1,,,1,3,20328.0,2,1,1189.0,,,,,,,
80,802,0.0,0.0,127000.0,5,1,,,1,3,1188.0,2,1,,,,,,,,
80,1304,,,,0,0,,,1,1,,1,1,,,,,,,,
80,1692,0.0,0.0,82490.0,5,1,,,1,1,,1,1,,,,,,,,
80,1764,,,,0,0,,,1,1,,1,1,,,,,,,,
80,2055,,,,0,0,,25000.0,2,3,,1,1,,,,,,,,
81,33,,,,0,0,,,1,1,,1,1,,,,,,,,
81,127,,,,0,0,,160000.0,3,3,2750.0,12,3,2126.0,,,,,,,
82,132,,,,0,0,,64.0,3,3,744.0,5,1,0.7,,,,,,,
82,740,0.0,0.0,12500.0,3,1,,37000.0,3,3,,1,1,,,,,,0.42,,
82,1498,0.0,0.0,141225.0,5,1,,,1,3,766.0,2,1,54.0,,,,,,,
82,1692,0.0,0.0,486000.0,5,1,,,1,1,2981.0,2,1,210.0,,,,,,,
85,590,0.0,0.0,35000.0,7,1,,64000.0,7,3,20.0,12,1,,0.05,0.08,,,0.58,,
86,1244,,,,0,0,,,1,1,,1,1,,,,,,,,
89,770,0.0,0.0,357595.0,5,1,,,1,3,976.0,2,1,59.0,,,,,,,
89,1516,0.0,0.0,377935.0,5,1,,,1,3,1420.0,2,1,85.0,,,,,,,
89,1541,0.0,0.0,150332.0,5,1,,,1,3,424.0,2,1,25.0,,,,,,,
91,1693,,,,0,0,,,1,1,,1,1,,,,,,,,
92,134,,,,0,0,,,1,1,,1,1,,,,,,,,
92,139,0.0,0.0,30000.0,3,1,,25000.0,3,3,427300.0,5,1,264.0,,,,,1.2,,
92,160,0.0,0.0,8957.0,3,1,,10657.0,3,3,274400.0,5,1,245.0,,,,,0.83,,
92,529,,,,0,0,,,1,1,,1,1,,,,,,,,
92,669,,,,0,0,,77000.0,3,3,41.0,34,1,,,,,,,,
92,740,0.0,0.0,75000.0,3,1,,115000.0,3,3,170.0,16,1,,,,,,0.67,,
92,844,,,,0,0,,,1,1,,1,1,,,,,,,,
92,1234,0.0,0.0,105561.0,3,1,,,1,3,340000.0,5,1,,,,,,2.0,,
92,1447,0.0,0.0,140235.0,3,1,,,1,1,,1,1,,,,,,,,
92,1531,,,,0,0,,,1,1,,1,1,,,,,,,,
92,1744,,,,0,0,,,1,1,,1,1,,,,,0.05,,,
93,533,0.0,0.0,20000.0,7,1,,1600000.0,7,3,345000.0,16,1,,,,,,0.02,,
93,741,0.0,0.0,5600.0,3,1,,16000.0,3,3,,1,1,,,,,,0.42,,
93,2050,,,,0,0,,,1,1,,1,1,,,,,,,,
94,179,0.0,0.0,53000.0,3,1,,36000.0,3,3,313.0,12,3,,,,,,,,
94,514,0.0,0.0,600000.0,9,1,,415000.0,9,3,4615.0,12,3,,,,,,,,
95,179,0.0,0.0,1000.0,3,1,,7000.0,3,3,65.0,12,3,,,,,,0.8,,
95,553,,,,0,0,,,1,1,,1,1,,,,,,,,
95,608,,,,0,0,,,1,1,,1,1,,,,,,,,
95,800,,,,0,0,,,1,3,,2,1,,,,,,,,
95,1274,,,,0,0,,,1,1,,1,1,,,,,,,,
95,1445,,,,0,0,,,1,1,,1,1,,,,,,,,
95,1529,,,,0,0,,,1,1,,1,1,,,,,,,,
95,1530,,,,0,0,,,1,1,,1,1,,,,,,,,
95,1688,0.0,0.0,48952.0,5,1,,,1,3,514.0,2,1,,,,,,,,
95,1806,0.0,0.0,90000.0,3,1,,33000.0,3,3,6200.0,11,3,,,,,,2.7,,
97,1,,,,0,0,,,1,1,,1,1,,,,,,,,
97,66,,,,0,0,,,1,1,,1,1,,,,,,,,
97,124,0.0,0.0,4000.0,3,1,,7700.0,3,3,290.0,15,1,,,,,,3.6,,
97,183,,,,0,0,,,1,1,,1,1,,,,,,,10.0,
97,193,,,,0,0,,,1,1,,1,1,,,,,,,,
97,366,,,,0,0,,,1,1,,1,1,,,,,,,,
97,426,0.0,0.0,60.0,2,8,,12.0,2,1,,1,1,,,,,0.2,,,
97,602,,,,0,0,,,1,1,,1,1,,,,,,,,
97,629,,,,0,0,,,1,1,,1,1,,,,,,,,
97,632,,,,0,0,,,1,1,,1,1,,,,,,,,
97,633,,,,0,0,,,1,1,,1,1,,,,,,,,
97,779,0.0,0.0,224559.0,5,1,,,1,3,334.0,2,1,51.0,,,,,,,
97,1180,,,,0,0,,,1,1,,1,1,,,,,,,,
97,1199,,,,0,0,,,1,1,,1,1,,,,,,,,
97,1240,,,,0,0,,,1,1,,1,1,,,,,,,,
97,1253,,,,0,0,,,1,1,,1,1,,,,,,,,
97,1270,,,,0,0,,,1,1,,1,1,,,,,,,,
97,1283,,,,0,0,,,1,1,13000.0,12,1,3400.0,,,,,,,
97,1312,,,,0,0,,,1,1,,1,1,,,,,,,,
97,1441,,,,0,0,,,1,1,,1,1,,,,,,,,
97,1474,,,,0,0,,,1,1,,1,1,,,,,,,,
97,1667,0.0,0.0,445525.0,5,1,,,1,3,1339.0,2,1,80.0,,,,,,,
97,1731,0.0,0.0,1750.0,5,1,,,0,0,,0,0,,,,,,,,
97,1792,,,,0,0,,,1,1,,1,1,,,,,,,10.0,
97,1798,0.0,0.0,115300.0,2,1,,,0,0,,0,0,,,,,,,,
97,1953,,,,0,0,,,1,1,,1,1,,,,,,,,
97,1958,,,,0,0,,,1,1,,1,1,,,,,,,,
97,1966,,,,0,0,,,1,1,,1,1,,,,,,,,
97,1972,,,,0,0,,,1,1,,1,1,,,,,,,,
97,1973,,,,0,0,,,1,1,,1,1,,,,,,,,
97,2050,,,,0,0,,,1,1,,1,1,,,,,,,,
99,397,0.0,0.0,21000.0,2,1,,724.0,2,3,10600.0,5,1,,,,,0.023,29.0,,
99,597,,,,0,0,,,1,1,,1,1,,,,,,,,
99,603,,,,0,0,,,1,1,,1,1,,,,,,,,
99,674,,,,0,0,,,1,1,,1,1,,,,,,,,
99,1270,,,,0,0,,,1,1,,1,1,,,,,,,,
103,1273,,,,0,0,,15529.0,3,3,,1,1,,,,,,,,
103,1976,,,,0,0,,,1,1,,1,1,,,,,,,,
105,1488,230.0,450.0,0.0,2,1,,,1,1,,1,1,,,,,,,,
108,34,,,,0,0,,14000.0,2,3,,1,1,,,,,0.04,0.0,,
108,866,0.0,0.0,81000.0,3,1,,100000.0,3,1,,1,1,,,,,,0.83,,
108,1569,,,,0,0,,11031.0,3,3,2286.0,11,3,,,,,,0.0,,
110,118,,,,0,0,,,1,1,,1,1,,,,,,,2.0,4.0
110,344,,,,0,0,,,2,3,,1,3,,,,,,,,
110,363,,,,0,0,,,1,1,,1,1,,,,,,,,
110,1236,,,,0,0,,,1,1,,1,1,,,,,,,,
113,97,0.0,0.0,3674.0,3,1,8.0,,1,1,,1,1,,,,,,,,
113,383,0.0,0.0,5280.0,2,1,,1100.0,2,3,,1,1,,,,,,4.8,,
120,123,,,,0,0,,9450.0,3,3,135.0,33,3,,,,,,0.0,,
120,1744,,,,0,0,,,1,1,,1,1,,,,,,,,
121,128,,,,0,0,,6806.0,3,3,3761.0,5,3,3.0,,,,,0.0,,
121,160,,,,0,0,,3019.0,3,3,77737.0,5,1,,,,,,0.0,,
121,543,,,,0,0,,1424000.0,7,1,,1,1,,,,,,,,
121,545,,,,0,0,,18000000.0,7,3,,1,1,,,,,,,,
