numsecteur,sous_secteurs,solutions
30,,"[1035, 1036, 1037, 1043, 1055, 1061, 1072, 60, 1085, 63, 70, 79, 81, 92, 1632, 97, 108, 1143, 120, 121, 136, 139, 144, 147, 149, 150, 154, 160, 182, 191, 192, 194, 196, 713, 719, 219, 221, 248, 766, 768, 771, 777, 779, 780, 799, 800, 295, 325, 329, 332, 333, 847, 336, 850, 341, 355, 869, 358, 360, 876, 877, 878, 881, 884, 885, 886, 887, 888, 889, 890, 891, 892, 400, 929, 936, 937, 955, 1479, 1484, 486, 488, 1020, 1022]"
31,,"[394, 780, 784, 914, 790, 1055, 1056, 419, 296, 936, 320, 192, 321, 196, 329, 78, 464, 1489, 339, 211, 357, 750, 1011]"
32,,"[139, 780, 790, 412, 1055, 1061, 935, 936, 295, 50, 321, 325, 1478, 839, 76, 332, 79, 719, 93, 488, 1001, 240, 246, 1014, 1017]"
33,"[34, 35, 36, 37, 38, 39, 40, 41, 42, 43]",
34,,"[768, 139, 154, 799, 160, 1056, 295, 427, 43, 171, 943, 1477, 1478, 839, 1479, 329, 1480, 1485, 336, 851, 852, 349, 889, 240, 1017]"
35,,"[768, 770, 1026, 136, 779, 780, 139, 140, 403, 148, 154, 543, 160, 162, 803, 932, 1058, 170, 43, 312, 697, 1087, 192, 1472, 1473, 1476, 839, 970, 332, 1484, 334, 847, 336, 79, 850, 719, 1617, 488, 108, 500, 888]"
36,,"[1031, 145, 154, 925, 1055, 160, 1060, 182, 312, 1468, 1471, 962, 707, 196, 333, 719, 1490, 211, 852, 214, 997, 241, 246, 892]"
37,,"[768, 70, 1479, 936, 139, 1003, 79, 1010, 884, 342, 888, 1055]"
38,,"[531, 154, 1052, 929, 1061, 937, 43, 46, 430, 70, 711, 839, 334, 719, 79, 222, 223, 378, 240, 1011, 500, 1143, 504, 890]"
39,,"[1026, 1033, 1034, 1035, 1056, 1061, 553, 1065, 42, 1073, 54, 1082, 1083, 63, 578, 79, 1111, 92, 1118, 97, 113, 1139, 1143, 140, 146, 147, 150, 152, 154, 160, 184, 701, 192, 719, 214, 217, 222, 223, 240, 241, 243, 780, 784, 786, 790, 308, 309, 839, 329, 332, 333, 335, 850, 852, 352, 867, 361, 368, 889, 914, 919, 920, 418, 937, 427, 1474, 970, 1484, 1486, 1487, 1488, 1489, 1490, 1491, 989, 1000, 488, 502, 503, 1017, 1022]"
40,,"[768, 770, 903, 778, 780, 140, 144, 789, 790, 150, 152, 917, 918, 797, 158, 1055, 160, 32, 1056, 931, 1058, 1061, 295, 40, 171, 1459, 309, 59, 701, 958, 321, 578, 1475, 329, 332, 334, 1486, 80, 719, 212, 342, 218, 92, 221, 222, 482, 488, 361, 1001, 879, 1007, 240, 242, 887, 884, 888, 1143, 504]"
41,,"[1031, 1033, 1035, 1043, 1055, 1058, 1062, 1064, 48, 54, 578, 67, 70, 92, 94, 121, 142, 151, 160, 182, 191, 192, 705, 193, 707, 196, 711, 205, 719, 211, 212, 216, 240, 246, 779, 780, 790, 791, 798, 804, 296, 304, 310, 312, 320, 321, 325, 847, 336, 337, 852, 348, 351, 359, 367, 889, 892, 903, 394, 910, 406, 918, 928, 937, 427, 962, 965, 1479, 1484, 482, 488, 1003, 1007, 495, 500, 503, 1017, 1019, 1020]"
42,,"[1026, 136, 139, 140, 918, 919, 926, 1055, 160, 161, 932, 295, 171, 429, 941, 445, 958, 959, 328, 329, 331, 717, 334, 719, 336, 358, 488, 240, 1012, 1140, 889, 890]"
43,,"[1025, 1032, 779, 780, 929, 163, 936, 1064, 67, 329, 847, 212, 85, 214, 852, 213, 857, 346, 488, 489, 1129, 1003, 246, 503, 1022]"
44,"[45, 46, 47, 48, 49]",
45,,"[1, 776, 777, 780, 783, 914, 1055, 1061, 321, 325, 1481, 76, 1486, 847, 335, 82, 97, 482, 483, 1003, 1005, 1007, 1017, 1022]"
46,,"[240, 801]"
47,,"[331, 847, 989, 849, 1460, 1464, 249, 58, 61]"
48,,"[481, 418, 900, 839, 970, 43, 428, 464, 850, 852, 406, 985, 701, 222, 223]"
49,,"[384, 385, 1, 913, 787, 1055, 1461, 182, 193, 67, 1605, 329, 331, 80, 222, 1003, 1007, 240, 250, 1019]"
50,"[51, 52, 53, 54, 55, 56, 57, 58, 59]",[1617]
51,,"[1, 513, 901, 261, 394, 270, 913, 914, 916, 406, 791, 280, 539, 544, 160, 418, 932, 808, 426, 1071, 50, 1459, 179, 1460, 570, 1468, 573, 196, 1479, 329, 970, 334, 335, 850, 855, 856, 1111, 986, 222, 223, 483, 867, 229, 869, 1128, 1130, 240, 373, 378, 254]"
52,,"[384, 897, 900, 1033, 914, 791, 416, 544, 418, 1533, 420, 547, 553, 426, 1459, 1082, 1083, 701, 451, 582, 711, 329, 1481, 334, 847, 1617, 852, 726, 855, 1110, 729, 858, 859, 222, 223, 863, 97, 226, 231, 1511, 236, 1134, 368, 240, 370, 503, 893, 894]"
53,,"[4, 910, 19, 1044, 1045, 1046, 1047, 1048, 1049, 1050, 1051, 1052, 1053, 39, 719, 94, 95, 1000, 890]"
54,,"[382, 270, 914, 531, 280, 1533, 418, 420, 932, 295, 808, 553, 1067, 1068, 557, 428, 43, 1073, 946, 1074, 1458, 1460, 567, 1082, 1083, 701, 1471, 1478, 329, 714, 715, 1099, 334, 719, 79, 850, 852, 222, 223, 225, 99, 869, 1000, 875, 1004, 240, 373, 250, 251, 253, 254]"
55,,"[2, 772, 903, 394, 139, 14, 399, 914, 147, 25, 160, 1056, 803, 1061, 295, 46, 312, 1477, 839, 329, 1099, 332, 334, 80, 1617, 850, 724, 852, 855, 222, 97, 867, 1141, 249]"
56,,"[901, 774, 902, 903, 904, 906, 907, 905, 909, 910, 912, 539, 29, 420, 421, 295, 1459, 308, 307, 582, 329, 586, 334, 719, 849, 850, 852, 1620, 855, 857, 222, 223, 226, 744, 240, 368]"
57,,"[547, 295, 808, 553, 250, 368, 914, 274, 1082, 1083, 253, 254]"
58,,"[1, 270, 17, 914, 928, 294, 296, 553, 43, 428, 1071, 1459, 949, 1082, 1083, 449, 322, 582, 329, 1617, 857, 223, 97, 103, 240, 1533, 254]"
59,,"[388, 485, 390, 869, 488, 17, 370, 1011]"
