numsolution,codelangue,jauge_cout,jauge_gain,titre,definition,3,4,application,6,7,8,9,10,11,12
7,3,2.0,2.0,Elevated condenser to ensure good heat exchange,"Placer le condenseur où il pourra correctement évacuer la chaleur et, de préférence, là où il fait le moins chaud. Vérifier que le condenseur à air ne reprend pas l'air rejeté. Lorsque les condenseurs à air sont placés sur le toit, les surélever d'un mètre permet d'optimiser les tranferts de chaleur car l'air proche du toit est généralement plus chaud en été.",,,"La solution s'applique aux condenseurs à air placés sur des toitures métalliques. Ces condenseurs se retrouvent particulièrement dans le secteur des Grandes et Moyennes Surfaces (GMS) car, par manque de place, le toit est généralement choisi pour l'emplacement des condenseurs.","L'air échangé au niveau des condenseurs à air doit être le plus frais possible car selon la qualité du condenseur, la température de condensation du fluide frigorigène est égale à la température de l'air + 10°C. Or, le rendement du système frigorifique est optimum si la température de condensation est faible.
Les toits non isolés en structure métallique sont chauffés directement par le rayonnement solaire. Leur température de surface s'éleve rapidement selon l'ensoleillement. Si les condenseurs à air sont proches du toit, l'air provenant du dessous les condenseurs, destiné à refroidir le fluide frigorigène, est réchauffé par la chaleur du toit.
Si le condenseur est élevé, ce phénomène de réchauffement d'air est évité.
 
Il est important de vérifier aussi que le condenseur à air ne reprend pas l'air rejeté car, l'air étant chaud, le rendement du système frigorifique serait diminué.
 ",,,,"
Modification de l'emplacement des condenseurs parfois difficile.
",,"
Augmentation du transfert d'échange thermique. Amélioration du rendement.
Durée de vie des ventilateurs améliorée.
"
7,4,2.0,2.0,Optimizar el emplazamiento del condensador,"Placer le condenseur où il pourra correctement évacuer la chaleur et, de préférence, là où il fait le moins chaud. Vérifier que le condenseur à air ne reprend pas l'air rejeté. Lorsque les condenseurs à air sont placés sur le toit, les surélever d'un mètre permet d'optimiser les tranferts de chaleur car l'air proche du toit est généralement plus chaud en été.",,,"La solution s'applique aux condenseurs à air placés sur des toitures métalliques. Ces condenseurs se retrouvent particulièrement dans le secteur des Grandes et Moyennes Surfaces (GMS) car, par manque de place, le toit est généralement choisi pour l'emplacement des condenseurs.","L'air échangé au niveau des condenseurs à air doit être le plus frais possible car selon la qualité du condenseur, la température de condensation du fluide frigorigène est égale à la température de l'air + 10°C. Or, le rendement du système frigorifique est optimum si la température de condensation est faible.
Les toits non isolés en structure métallique sont chauffés directement par le rayonnement solaire. Leur température de surface s'éleve rapidement selon l'ensoleillement. Si les condenseurs à air sont proches du toit, l'air provenant du dessous les condenseurs, destiné à refroidir le fluide frigorigène, est réchauffé par la chaleur du toit.
Si le condenseur est élevé, ce phénomène de réchauffement d'air est évité.
 
Il est important de vérifier aussi que le condenseur à air ne reprend pas l'air rejeté car, l'air étant chaud, le rendement du système frigorifique serait diminué.
 ",,,,"
Modification de l'emplacement des condenseurs parfois difficile.
",,"
Augmentation du transfert d'échange thermique. Amélioration du rendement.
Durée de vie des ventilateurs améliorée.
"
8,2,3.0,3.0,Vérification du dimensionnement et remplacement des compresseurs surdimensionnés si nécessaire.,Remplacer un compresseur surdimensionné par un compresseur plus performant avec une puissance plus adaptée au vrai besoin associé. Eventuellement avec un système de stockage.,,,,,,,,,de la consommation électrique de la centrale frigorifique,
8,3,3.0,3.0,Check sizing and replacement of the compressors oversized if necessary,Replace oversized compressor with a more efficient compressor with a more  suitable power to the real associated needs. Optionally with a storage system.,,,,,,,,,in electricity consumption of the refrigeration plant,
8,4,3.0,3.0,Verificación de dimensionamiento y reemplazo de los compresores sobredimensionados si es necesario,Reemplazo un compresor sobredimensionado por un compresor más eficiente con una potencia más adaptada a la necesidad real asociada. Eventualmente con un sistema de almacenamiento.,,,,,,,,,del consumo eléctrico de la central frigorífica,
9,2,,,Zone neutre entre les températures de consignes chaude et froide,Changer les températures de consignes de chauffage/climatisation,,,Evite une destruction de froid. Possible quand on a conditionnement du produit à des températures spécifiques.,,,,,,,
9,3,,,Neutral zone between the temperatures of hot and cold instructions,Changer les températures de consignes de chauffage/climatisation,,,Evite une destruction de froid. Possible quand on a conditionnement du produit à des températures spécifiques.,,,,,,,
9,4,,,Crear una zona neutra entre las temperaturas de consignas calientes y frías,Changer les températures de consignes de chauffage/climatisation,,,Evite une destruction de froid. Possible quand on a conditionnement du produit à des températures spécifiques.,,,,,,,
10,2,,,Séparation des productions de froid,Séparer les production de froid,,,"La séparation des productions de froid permet de diminuer les distances entre production et utilisation. 
Elle permet aussi de séparer les températures de production de froid, et donc de créer du froid pour des besoins différents.",,,,,,,
10,3,,,Separation of cold productions,Séparer les production de froid,,,"La séparation des productions de froid permet de diminuer les distances entre production et utilisation. 
Elle permet aussi de séparer les températures de production de froid, et donc de créer du froid pour des besoins différents.",,,,,,,
10,4,,,Separar las producciones de frío,Séparer les production de froid,,,"La séparation des productions de froid permet de diminuer les distances entre production et utilisation. 
Elle permet aussi de séparer les températures de production de froid, et donc de créer du froid pour des besoins différents.",,,,,,,
11,2,,,Diminution des entrées de chaleur dans les zones d'utilisation du froid,"Réduction du nb d'éclairages dans la zone froide, changement des technologies d'éclairage, fermeture des portes (joints…), mise en place de contact de portes qui éteigne automatiquement l'éclairage. 
Diminution du temps de présence humaine dans la zone.",,,"Un être humain génère une puissance calorifique de 80W au repos.
Les contacts de porte permettent de couper l'éclairage lors de la fermeture des portes.",,,,,,de la consommation électrique des centrales frigorifiques du à la chambre froide par la mise en place d'éclairage performant.,
11,3,,,Decrease heat inputs in the areas of use of cold,"Réduction du nb d'éclairages dans la zone froide, changement des technologies d'éclairage, fermeture des portes (joints…), mise en place de contact de portes qui éteigne automatiquement l'éclairage. 
Diminution du temps de présence humaine dans la zone.",,,"Un être humain génère une puissance calorifique de 80W au repos.
Les contacts de porte permettent de couper l'éclairage lors de la fermeture des portes.",,,,,,de la consommation électrique des centrales frigorifiques du à la chambre froide par la mise en place d'éclairage performant.,
11,4,,,Disminución de las entradas de calor en las zonas de utilización del frío,"Réduction du nb d'éclairages dans la zone froide, changement des technologies d'éclairage, fermeture des portes (joints…), mise en place de contact de portes qui éteigne automatiquement l'éclairage. 
Diminution du temps de présence humaine dans la zone.",,,"Un être humain génère une puissance calorifique de 80W au repos.
Les contacts de porte permettent de couper l'éclairage lors de la fermeture des portes.",,,,,,de la consommation électrique des centrales frigorifiques du à la chambre froide par la mise en place d'éclairage performant.,
12,2,,,Pré-refroidissement du produit,Refroidissement à T extérieur ou avec de l'eau de distribution avant de l'introduire dans la chambre froide,,,Coût dix fois inférieur comparé au refroidissement par groupe froid,,,,,,,
12,3,,,Pre-cooling of the product,Refroidissement à T extérieur ou avec de l'eau de distribution avant de l'introduire dans la chambre froide,,,Coût dix fois inférieur comparé au refroidissement par groupe froid,,,,,,,
12,4,,,Pre-enfriar el producto,Refroidissement à T extérieur ou avec de l'eau de distribution avant de l'introduire dans la chambre froide,,,Coût dix fois inférieur comparé au refroidissement par groupe froid,,,,,,,
13,2,2.0,2.0,Meuble frigorifique de type vertical avec uniquement éclairage en fronton,"Eteindre l'éclairage intérieur ou lors du rétrofit, choisir des meubles avec éclairage en fronton seulement. Les élcairages des meubles frigorifiques sont généralement largements surdimensionnés.
L’unique éclairage en fronton des produits permet d’économiser de l’énergie mais aussi évite de réchauffer les produits. ",,,"La solution s'applique aux bâtiments du secteur commercial, petit supermarché, grandes surfaces, commerces de proximité déjà équipés de meubles frigorifiques.","L’unique éclairage des meubles frigorifiques en fronton permet d’économiser de l’énergie sur la puissance dédiée à l’éclairage, sous réserve de posséder un système possédant flux lumineux important et une haute efficacité.
De plus, ce procédé permet d'éviter une sur-consommation causée par la chaleur produite par un éclairage trop important. En effet, la chaleur dissipée par l'éclairage supplémentaire doit être compensée par les groupes frigorifiques. L'impact de la chaleur transmise dans un endroit réfrigéré est deux fois plus important que dans une ambiance classique.
De plus, en diminuant le nombre d'éclairage sur les meubles, la puissance de l’installation diminue ce qui permet d’améliorer le rendement général de l’installation.
 ",,,,"
Investissement important en rétrofit
",,"
Réduction de la puissance installée en luminaire
Réduction des apports internes (double consommation)
Augmentation de l’efficacité des luminaires 
"
13,3,2.0,2.0,Refrigerated cabinet vertical type with only lighting pediment,"Eteindre l'éclairage intérieur ou lors du rétrofit, choisir des meubles avec éclairage en fronton seulement.",,,"La chaleur dissipée par l'éclairage supplémentaire, doit être compensée par les groupes froids : double consommation",,,,,,,
13,4,2.0,2.0,Mueble frigorífico de tipo vertical únicamente con iluminación en frontón ,"Eteindre l'éclairage intérieur ou lors du rétrofit, choisir des meubles avec éclairage en fronton seulement.",,,"La chaleur dissipée par l'éclairage supplémentaire, doit être compensée par les groupes froids : double consommation",,,,,,,
14,2,1.0,2.0,Rideaux de nuit sur meubles frigorifiques de type vertical à température positive,"L'ajout de rideaux de nuit sur les meubles frigorifiques de vente permet de limiter les déperditions d'énergie qui ont lieu la nuit dans le magasin fermé au public. A la fermeture de la surface de vente,  ces rideaux sont decendus pour couvrir les surfaces ouvertes la journée.",,,"Cette solution s'applique au secteur tertiaire, tout particulièrement aux grandes et moyennes de supermarché.","Un gain maximum de 15 % de la consommation électrique des centrales froid est envisageable. En France, selon une étude réalisée par l'Ademe, l'usage de rideaux de nuit dans les supermarchés et hypermachés permet de faire une économie globale de 4200 kWh, en considérant que le taux d'équipement de ces magasins est de 50 %.",,,,,de la consommation électrique des centrales froid la nuit,
14,3,1.0,2.0,Night blinds on refrigerated cabinets vertical type positive temperature,Ajouter des rideaux de nuits sur les meubles frigorifiques de ventes dans les structures de types GMS. ,,,"Lors de la fermeture de la surface de vente, on vient descendre ces rideaux de nuits ce qui diminue les pertes de froid dans les allées.

Pour être éligible à CEE, les meubles doivent être de type vertical positif ouvert à groupe frigorifique extérieur du",,,,,,de la consommation électrique des centrales froid la nuit,
14,4,1.0,2.0,Cortinas de noche sobre muebles frigoríficos de tipo vertical a temperatura positiva,Ajouter des rideaux de nuits sur les meubles frigorifiques de ventes dans les structures de types GMS. ,,,"Lors de la fermeture de la surface de vente, on vient descendre ces rideaux de nuits ce qui diminue les pertes de froid dans les allées.

Pour être éligible à CEE, les meubles doivent être de type vertical positif ouvert à groupe frigorifique extérieur du",,,,,,de la consommation électrique des centrales froid la nuit,
15,2,3.0,3.0,Porte non chauffante à haute performance d'isolation pour armoire verticale à froid négatif,"Afin de prévenir la condensation ou le givrage lors des ouvertures, les portes des meubles froid négatif verticaux ont toujours été dotées d’éléments chauffants (cordon chauffant et couche chauffante transparente) dont le fonctionnement est permanent. La mise en place de portes non chauffantes à haute performance d’isolation sur ces meubles permet alors de réduire la consommation de ces meubles en supprimant les éléments chauffants et en réduisant les pertes thermiques, limitant ainsi la puissance frigorifique (et donc la consommation énergétique du système de production de froid).
Les portes d'armoires frigorifiques sont généralement mises en place lors du remplacement des meubles frigorifiques de ventes ou lors de leur dimensionnement initial. 
 
 ",,,"Cette solution est applicable aux bâtiments tertiaires existants, notamment aux grandes et moyennes surfaces ( supermarchés, hypermarchés).","Ces portes disposent de 2 caractéristiques essentielles:

Des vitrages à haute performance d’isolation pour que la température du verre côté magasin soit toujours au dessus de la température de rosée de l’ambiance et éviter ainsi la formation de condensation sans avoir à chauffer le vitrage
Un encadrement à faible conduction thermique (cadre matériau plastique, intercalaire warm edge pour le vitrage) pour que le cadre de la porte soit toujours au dessus de la température de rosée sans avoir à utiliser de cordon chauffant

Malgré tout, en l’absence d’éléments chauffants et avec une isolation très performante, la formation de givre lors des ouvertures est importante et ne se dissipe que lentement. Dans ces conditions, il est souhaitable d’associer une couche anti-givre à ce type de porte pour assurer une transparence permanente.
Une porte à haute performance d'isolation permet d'économiser jusqu'à 30 % de la consommation électrique des centrales la nuit. Le gain moyen estimé est de 410 kWh/an.",,,,,de la consommation électrique des centrales froid la nuit,
15,3,3.0,3.0,Unheated door insulation high performance vertical cabinet negative cold,Mise en place d'une porte non chauffante à haute performance d'isolation pour armoire verticale à froid négatif pour produits surgelés.,,,"Les portes sont généralement mises en place lors du remplacement des meubles frigorifiques de ventes ou lors du dimensionnement initial.

Pour être éligible à CEE, la porte doit être équipée d'un vitrage avec coefficient de transfert de chaleur inférieur ",,,,,,de la consommation électrique des centrales froid la nuit,
15,4,3.0,3.0,Aislamiento de la puerta no climatizada a alto rendimiento para armario vertical de frío negativo,Mise en place d'une porte non chauffante à haute performance d'isolation pour armoire verticale à froid négatif pour produits surgelés.,,,"Les portes sont généralement mises en place lors du remplacement des meubles frigorifiques de ventes ou lors du dimensionnement initial.

Pour être éligible à CEE, la porte doit être équipée d'un vitrage avec coefficient de transfert de chaleur inférieur ",,,,,,de la consommation électrique des centrales froid la nuit,
16,2,,,Séparation du dégivrage d'un meuble frigorifique en plusieurs parties,"Acheter de nouveaux meubles frigorifiques (fournisseurs: bonne neve, Chief, Koxka, …) pré-équipés ou configurer la GTC pour que le dégivrage soit effectué module par module. En pratique, les meubles frigorifiques sont constitués de modules (2 à 4) mit bout",,,Le fait de dégivrer un module à la fois économise l'énergie en limitant la monté en température du meubles (et des aliments).,,,,,,,
16,3,,,Separation of defrosting a refrigeration appliance into several parts,"Acheter de nouveaux meubles frigorifiques (fournisseurs: bonne neve, Chief, Koxka, …) pré-équipés ou configurer la GTC pour que le dégivrage soit effectué module par module. En pratique, les meubles frigorifiques sont constitués de modules (2 à 4) mit bout",,,Le fait de dégivrer un module à la fois économise l'énergie en limitant la monté en température du meubles (et des aliments).,,,,,,,
16,4,,,Separación del deshielo de un mueble frigorífico en varias partes,"Acheter de nouveaux meubles frigorifiques (fournisseurs: bonne neve, Chief, Koxka, …) pré-équipés ou configurer la GTC pour que le dégivrage soit effectué module par module. En pratique, les meubles frigorifiques sont constitués de modules (2 à 4) mit bout",,,Le fait de dégivrer un module à la fois économise l'énergie en limitant la monté en température du meubles (et des aliments).,,,,,,,
17,2,1.0,2.0,Stockage thermique,"Le stockage thermique s'applique aussi bien sur le chaud que sur le froid. Elle permet de lisser la production thermique en la faisant à son régime de puissance nominale. Elle Permet aussi de décaler la consommation énergétique la nuit afin de bénéficier des tarifs électriques en heures creuses, moins onéreux.
Sont distingués trois types de stockage :

Stockage par chaleur sensible
Stockage par chaleur latente
Stockage par voie thermochimique
",,,"La solution s'applique aux stockage de :

fluides chauds : par exemple ballon de stockage d'eau chaude dans les bâtiments résidentiels et tertiaires
fluides froids : par exemple stockage d'eau glacée ou de matériaux à changement de phase sur des installations frigorifiques centralisées.

 ",,,,,"
Pertes thermiques à évaluer
",,"
Permet de générer du froid lors des heures creuses (économies monétaires)
"
17,3,1.0,2.0,thermal storage,"Permet de bénéficier des tarifs électriques en heures creuses, moins chers. 
Considérer les pertes supplémentaires dues les pertes thermiques et la consommation de la pompe",,,,,,,,,,
